linha	nome_linha	direction_id	headsign_comum	origem_stop_name	origem_lat	origem_lon	destino_stop_name	destino_lat	destino_lon	viagens_contadas	route_id	origem_stop_id	destino_stop_id
626	Estação Venda Nova/Esplendor Via Nova America	0	Esplendor (Principal)	Rua Quinze 247	-19.78166656	-43.9868511	Rua Quinze 247	-19.78166656	-43.9868511	49	562083	14791826	14791826
626	Estação Venda Nova/Esplendor Via Nova America	1	Esplendor (Partidas da Estacao Venda Nova)	Estação Venda Nova - Plataforma B3	-19.80951883	-43.96951541	Estação Venda Nova - Plataforma B3	-19.80951883	-43.96951541	417	562083	15328775	15328775
627	Estação Venda Nova/Mantiqueira	0	Estação Venda Nova (Principal)	Estação Venda Nova - Plataforma C3	-19.80958697	-43.96960393	Estação Venda Nova - Plataforma C3	-19.80958697	-43.96960393	518	561799	15328778	15328778
631	Estação Vilarinho / Serra Verde Via Minas Caixa	0	Estação Vilarinho	Estação Vilarinho - Plataforma B7	-19.82209747	-43.94729915	Estação Vilarinho - Plataforma B7	-19.82209747	-43.94729915	27	561912	15276995	15276995
633	Estação Vilarinho / Jardim dos Comerciarios	0	Estação Vilarinho	Estação Vilarinho - Plataforma B16	-19.82184521	-43.94798318	Estação Vilarinho - Plataforma B16	-19.82184521	-43.94798318	298	561875	15282966	15282966
634	Estação Vilarinho/Nova York Via Jardim dos Comerciarios	0	Jardim Dos Comerciarios	Avenida Oceano Atlantico 332	-19.79121407	-43.96403303	Avenida Oceano Atlantico 332	-19.79121407	-43.96403303	333	561833	14792117	14792117
634	Estação Vilarinho/Nova York Via Jardim dos Comerciarios	1	Jardim dos Comerciários (Partidas da Estação Vilarinho Via Estação Venda Nova)	Estação Vilarinho - Plataforma B20	-19.82174932	-43.94830773	Estação Vilarinho - Plataforma B20	-19.82174932	-43.94830773	119	561833	15282968	15282968
635	Estação Vilarinho / Jardim dos Comerciarios C	0	Estação Vilarinho (Principal)	Estação Vilarinho - Plataforma B15	-19.82188309	-43.94787408	Estação Vilarinho - Plataforma B15	-19.82188309	-43.94787408	272	562351	15282965	15282965
635	Estação Vilarinho / Jardim dos Comerciarios C	1	Partidas do Jardim dos Comerciários C	Rua Sete De Outubro 788	-19.79045541	-43.9768203	Estação Vilarinho - Plataforma C10	-19.82155472	-43.94810109	9	562351	14788997	15328633
636	Estação Vilarinho / Jardim Europa - Via Cenáculo	0	Estação Vilarinho (Principal)	Estação Vilarinho - Plataforma B13	-19.82194329	-43.94772055	Estação Vilarinho - Plataforma B13	-19.82194329	-43.94772055	282	562341	15282924	15282924
637	Estação Vilarinho / Canaa Via Serra Verde	0	Estação Vilarinho	Estação Vilarinho - Plataforma B9	-19.82201234	-43.94749939	Estação Vilarinho - Plataforma B9	-19.82201234	-43.94749939	244	561811	15276996	15276996
638	Estação Vilarinho/Minas Caixa	0	Estação Vilarinho	Estação Vilarinho - Plataforma B7	-19.82209747	-43.94729915	Estação Vilarinho - Plataforma B7	-19.82209747	-43.94729915	263	562323	15276995	15276995
639	Braunas / Shopping Del Rey	0	Shopping Del Rey	Rua Marciano Jose De Souza 260	-19.81527395	-44.01604114	Avenida Del Rey 75	-19.88989748	-43.96925841	24	562075	14793177	14790363
639	Braunas / Shopping Del Rey	1	Braunas	Avenida Del Rey 75	-19.88989748	-43.96925841	Rua Marciano Jose De Souza 72	-19.81532207	-44.01593871	24	562075	14790363	14792082
