route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
562351,37926,635,Estação Vilarinho / Jardim dos Comerciarios C,,3,,012841,FFFFFF
562358,37926,1145,Bairro Das Indústrias,,3,,012841,FFFFFF
562360,37926,5550,Estação Pampulha / Estação Ponto São Jose,,3,,BED000,000000
562361,37926,1510,Madre Gertrudes/Providencia,,3,,012841,FFFFFF
562363,37926,715,Estação São Gabriel / Monte Azul,,3,,012841,FFFFFF
562367,37926,101,Aglomerado Santa Lúcia / São Pedro,,3,,012841,FFFFFF
562370,37926,2104,Nova Gameleira/Bh Shopping,,3,,012841,FFFFFF
562378,37926,822,Santa Inês / Vila Maria - Via Estação José Cândido,,3,,012841,FFFFFF
562388,37926,2035,Bairro Das Industrias / Centro,,3,,012841,FFFFFF
562389,37926,5033,Santa Terezinha/Praca da Liberdade via Tancredo Neves,,3,,012841,FFFFFF
562393,37926,9206,Vera Cruz/Buritis - Via Avenida Raja Gabáglia,,3,,012841,FFFFFF
562397,37926,903,Granja de Freitas / Taquaril via Alto Vera Cruz,,3,,012841,FFFFFF
562407,37926,623,Estação Venda Nova / Vila Santa Branca,,3,,012841,FFFFFF
562410,37926,702,Estação Vilarinho/Xodo-Marize Via Jardim Guanabara,,3,,012841,FFFFFF
562412,37926,711,Estação São Gabriel / Solimões,01 - Principal,3,,012841,FFFFFF
573119,37926,720,Circular Saúde MG20,,3,,012841,FFFFFF
596937,37926,721,Estação São Gabriel / Maria Teresa Via Parque Cerrado,,3,,012841,FFFFFF
600190,37926,5034,Urca/Centro Via Confisco,01,3,,012841,FFFFFF
603188,37926,5035,Zoológico/Hospitais Via Serrano,,3,,012841,FFFFFF
603413,37926,646,Estação Vilarinho/Zoológico Via Estação Venda Nova,,3,,012841,FFFFFF
603888,37926,5036,Celso Machado/Centro,,3,,012841,FFFFFF
608000,37926,513,Estação Pampulha / Dandara via Braúnas,,3,,012841,FFFFFF
637902,37926,3150,Regina-Lindeia/BH Shopping via Anel Rodoviário,,3,,012841,FFFFFF
701772,37926,2036,Alto Havaí/Centro/Hospitais,,3,,012841,FFFFFF
