stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
14784246,,Avenida Doutor Cristiano Guimaraes 1993,,-19.83778097,-43.95326301,,,0,,,0,
14784247,,Rua Desembargador Paulo Mota 1099,,-19.88100228,-43.9821226,,,0,,,0,
14784248,,Rua Zirconio 98,,-19.94466627,-44.01548891,,,0,,,0,
14784249,,Avenida Dom Pedro I 2233,,-19.8271869,-43.95872164,,,0,14790118,,0,1A
14784250,,Avenida Dom Pedro I 2234,,-19.82715667,-43.95858991,,,0,14790118,,0,1B
14784251,,Rua Frei Luiz De Ravena 120,,-19.83423819,-43.90211697,,,0,,,0,
14784252,,Rua Artur De Sa 1027,,-19.87881921,-43.91910419,,,0,,,0,
14784253,,Rua Jose Clemente 312,,-19.83864376,-43.92897654,,,0,,,0,
14784254,,Rua Bom Jesus Da Penha 679,,-19.86732549,-44.00644957,,,0,,,0,
14784255,,Rua Professor Edmundo Lins 135,,-19.86996238,-43.96028499,,,0,,,0,
14784256,,Rua Chasquiel Zinquier 57,,-19.86452555,-43.910795,,,0,,,0,
14784257,,Rua Visconde De Taunay 36,,-19.82658333,-43.96812021,,,0,,,0,
14784258,,Rua Visconde De Taunay 35,,-19.82662888,-43.96818485,,,0,,,0,
14784259,,Rua Nossa Senhora De Fatima 960,,-19.93853972,-43.90786291,,,0,,,0,
14784260,,Avenida Amazonas 6555,,-19.93318102,-43.99214685,,,0,,,0,
14784261,,Rua Catumbi 513,,-19.90228448,-43.96553617,,,0,,,0,
14784262,,Rua Cassiterita 955,,-19.88359264,-43.91030082,,,0,,,0,
14784263,,Rua Padre Adolfo Kolping 11,,-19.80475093,-43.95711455,,,0,,,0,
14784264,,Rua Paulo Piedade Campos 780,,-19.95827837,-43.96763962,,,0,,,0,
14784265,,Rua Sao Jacinto 192,,-19.83523801,-43.88862275,,,0,,,0,
14784266,,Rua Jesuina Ferraz Dos Santos 573,,-19.98612958,-44.01678567,,,0,,,0,
14784268,,Rua Altinopolis 615,,-19.80805833,-43.99057826,,,0,,,0,
14784269,,Rua Guaxe 87,,-19.867634,-43.89797186,,,0,,,0,
14784270,,Rua Frei Orlando 469,,-19.90462477,-43.96053754,,,0,,,0,
14784271,,Rua Ministro Ivan Lins 357,,-19.85924689,-43.94127007,,,0,,,0,
14784272,,Rua Dos Tupis 650,,-19.92055363,-43.94323548,,,0,,,0,
14784273,,Rua Maria Conceicao Bonfim 1386,,-19.86594348,-43.90084368,,,0,,,0,
14784274,,Rua Magi Salomon 597,,-19.94259452,-43.98086126,,,0,,,0,
14784275,,Rua Maria Antonieta Ferreira 216,,-20.0193257,-44.03222613,,,0,,,0,
14784276,,Rua Jornalista Joao Augusto 16,,-19.82920686,-44.00046841,,,0,,,0,
14784277,,Avenida Dom Pedro I 2221,,-19.82685274,-43.95852232,,,0,,,0,
14784278,,Rua Eutalia Engracia De Almeida 314,,-19.83178551,-43.91741525,,,0,,,0,
14784279,,Rua Jornalista Joao Augusto 10,,-19.83045944,-44.00039488,,,0,,,0,
14784280,,Rua Professor Rodrigo Agnelo Antunes 245,,-19.94952912,-43.97662063,,,0,,,0,
14784281,,Rua Jornalista Joao Augusto 13,,-19.8290027,-44.00038012,,,0,,,0,
14784282,,Avenida Celso Porfirio Machado 1575,,-19.96233484,-43.93468126,,,0,,,0,
14784283,,Rua Castelo Da Beira 174,,-19.87776246,-43.99387874,,,0,,,0,
14784284,,Rua Joao Moreira Da Rocha 21,,-19.86563477,-43.98243979,,,0,,,0,
14784285,,Rua Agenor De Paula Estrela 326,,-19.80010741,-43.93507497,,,0,,,0,
14784286,,Rua Wilson De Oliveira 226,,-20.02550967,-44.02625328,,,0,,,0,
14784287,,Rua Panema 321,,-19.89461807,-43.93748143,,,0,,,0,
14784288,,Rua Professora Maria Carolina Campos 44,,-19.93823474,-43.97564235,,,0,,,0,
14784289,,Rua Doutor Sette Camara 45,,-19.94618882,-43.95619999,,,0,,,0,
14784290,,Avenida Brasil 845,,-19.92753687,-43.92740437,,,0,,,0,
14784291,,Rua Regina 133,,-19.86217619,-43.91449463,,,0,,,0,
14784292,,Rua Regina 132,,-19.86214031,-43.91440386,,,0,,,0,
14784293,,Rua Pedra Sabao 345,,-19.80996256,-43.98503393,,,0,,,0,
14784294,,Rod Anel Rodoviario Celso Mello Azevedo 10371,,-19.92410187,-44.00538839,,,0,,,0,
14784295,,Rua Maria Amelia Maia 711,,-19.84513444,-43.9437821,,,0,,,0,
14784296,,Avenida Antonio Francisco Lisboa 2305,,-19.86651605,-44.01091497,,,0,,,0,
14784297,,Avenida Antonio Francisco Lisboa 2304,,-19.86643315,-44.01097308,,,0,,,0,
14784298,,Rua Cesar Salles Barbosa 129,,-19.79863755,-43.97758414,,,0,,,0,
14784299,,Avenida Alvares Cabral 400,,-19.92631264,-43.93876798,,,0,,,0,
14784300,,Rua Santos 81,,-19.93865927,-43.97774018,,,0,,,0,
14784301,,Rua Flemidark 241,,-19.99856675,-44.03446914,,,0,,,0,
14784302,,Rua Marianita 120,,-19.89383255,-44.00769241,,,0,,,0,
14784303,,Rua Frei Cipriano 133,,-19.884174,-43.95681418,,,0,,,0,
14784304,,Rua Jaguaribe 62,,-19.89630101,-43.9378542,,,0,,,0,
14784305,,Rua Ulisses Surette 551,,-20.00720037,-44.01235764,,,0,,,0,
14784306,,Rua Herculano Soares Rocha 727,,-19.86848718,-43.90479305,,,0,,,0,
14784307,,Rua Gustavo Da Silveira 1681,,-19.89068599,-43.91337023,,,0,,,0,
14784308,,Rua Da Abolicao 38,,-19.79798571,-43.97226214,,,0,,,0,
14784309,,Rua Professor Edmundo Lins 140,,-19.86974631,-43.96032622,,,0,,,0,
14784310,,Rua Dom Cavati 75,,-19.85399801,-43.92598543,,,0,,,0,
14784311,,Rua Doutor Benedito Xavier 2224,,-19.84561376,-43.91824149,,,0,,,0,
14784312,,Rua Viana Do Castelo 255,,-19.87542476,-43.95231875,,,0,,,0,
14784313,,Minas Caixa,,-19.8121538,-43.96029142,,,1,,,1,
14784314,,Rua Chasquiel Zinquier 23,,-19.86563432,-43.90992513,,,0,,,0,
14784315,,Rua Vicosa 153,,-19.94182766,-43.9379047,,,0,,,0,
14784316,,Rua Chopoto 520,,-19.91407225,-44.02774438,,,0,,,0,
14784317,,Rua Dos Moreiras 202,,-19.83603031,-43.86491988,,,0,,,0,
14784318,,Rua Sao Felix 111,,-19.84113935,-43.94829874,,,0,,,0,
14784319,,Rua Doze 305,,-19.9852603,-43.98545347,,,0,,,0,
14784320,,Rua Nilse Alves Da Silva 32,,-19.85570874,-43.90275299,,,0,,,0,
14784321,,Rua Dom Aquino 65,,-19.84379331,-43.89869982,,,0,,,0,
14784322,,Rua Serra Da Mantiqueira 265,,-19.82397585,-43.90115009,,,0,,,0,
14784323,,Rua Serra Da Mantiqueira 266,,-19.82388459,-43.90117955,,,0,,,0,
14784324,,Rod Anel Rodoviario Celso Mello Azevedo 23665,,-19.85788104,-43.90872709,,,0,,,0,
14784325,,Rua Dalva De Matos 293,,-19.81626272,-43.9877471,,,0,,,0,
14784326,,Rua Antonio Teixeira Dias 1295,,-19.98434364,-44.01958675,,,0,,,0,
14784327,,Rua Dos Expedicionarios 1030,,-19.84199604,-43.98010743,,,0,,,0,
14784328,,Rua Dona Chiquinha 100,,-19.84554992,-43.8857406,,,0,,,0,
14784329,,Avenida Silva Lobo 893,,-19.93284429,-43.97164194,,,0,,,0,
14784330,,Avenida Senador Levindo Coelho 2585,,-20.0104936,-44.03340614,,,0,,,0,
14784331,,Rua Conselheiro Carneiro De Campos 283,,-19.94682543,-43.98104386,,,0,,,0,
14784332,,Rua Ursula Paulino 1540,,-19.96074797,-43.98987266,,,0,,,0,
14784333,,Avenida Oceano Atlantico 810,,-19.79600881,-43.96275915,,,0,,,0,
14784334,,Rua Mexico 1275,,-19.82256782,-43.99465782,,,0,,,0,
14784335,,Est Do Cercadinho 2886,,-19.95431916,-43.97066055,,,0,,,0,
14784336,,Rua Doutor Cristiano Rezende 2585,,-19.98935399,-43.99760699,,,0,,,0,
14784337,,Rua Hesperia 117,,-19.89127083,-43.950764,,,0,,,0,
14784338,,Rua Padre Belchior 319,,-19.92326152,-43.94145206,,,0,,,0,
14784339,,Rua Ramalho Ortigao 662,,-19.83318041,-43.96665107,,,0,,,0,
14784340,,Rua Ramalho Ortigao 661,,-19.83293831,-43.96662952,,,0,,,0,
14784341,,Rua Coronel Joaquim Tiburcio 760,,-19.84215889,-43.94051997,,,0,,,0,
14784342,,Rua Tebas 795,,-19.90837659,-43.89208904,,,0,,,0,
14784343,,Rua Jose De Lara Resende 217,,-19.78314034,-43.98333978,,,0,,,0,
14784344,,Rua Cornelio Cerqueira 250,,-19.91305682,-43.98568257,,,0,,,0,
14784345,,Avenida General Carlos Guedes 300,,-19.83807944,-43.94859484,,,0,,,0,
14784346,,Rua Coletor Celso Werneck 50,,-19.93946368,-43.94402778,,,0,,,0,
14784347,,Rua Doze 335,,-19.98505268,-43.98473004,,,0,,,0,
14784348,,Rua Mario Martins 53,,-19.91171495,-43.90432929,,,0,,,0,
14784349,,Rua Paracaima 1000,,-19.94194379,-43.98061271,,,0,,,0,
14784350,,Rua Barroso Neto 229,,-19.96172532,-43.97241177,,,0,,,0,
14784351,,Rua Modestino Goncalves 123,,-19.88634542,-43.90290263,,,0,,,0,
14784352,,Avenida Teresa Cristina 1488,,-19.91900483,-43.96893605,,,0,,,0,
14784353,,Rua Modestino Goncalves 122,,-19.8862739,-43.90286511,,,0,,,0,
14784354,,Rua Joaquim Goncalves Pimenta 670,,-19.93865137,-44.02201613,,,0,,,0,
14784355,,Rua Sao Miguel 950,,-19.84310708,-43.95715317,,,0,,,0,
14784356,,Est Do Jatoba 14,,-19.99340277,-44.01854772,,,0,,,0,
14784357,,Avenida Waldyr Soeiro Emrich 48,,-19.98958657,-44.01185119,,,0,,,0,
14784358,,Rua Pitangui 2492,,-19.9069858,-43.92363557,,,0,,,0,
14784359,,Rua Das Gaivotas 455,,-19.82509859,-43.94713986,,,0,,,0,
14784360,,Rua Jornalista Joao Augusto 50,,-19.82750291,-44.00053779,,,0,,,0,
14784361,,Rua Ursula Paulino 1555,,-19.96076201,-43.98962573,,,0,,,0,
14784362,,Avenida Amazonas 6500,,-19.9328233,-43.99198794,,,0,,,0,
